base_salary_max,base_salary_min,requirements,responsibilities,title,region,salary_mean
25100.0,25000.0,"Должен соблюдать нормы и правила, инструкции по охране труда, пожарной безопасности и правила внутреннего трудового распорядка","1. Обеспечение безопасности судебной деятельности:организация подготовки залов судебных заседаний к работе организация мероприятий, направленных на обеспечение установленного порядка деятельности суда и принятие мер безопасности при проведении судебных заседаний, порядка охраны зданий суда, совещательных комнат и судебных помещений организация оборудования зданий и внутренних помещений суда и находящейся в ведении суда территории техническими средствами, системами безопасности и средствами защиты осуществление контроля за обеспечением и содержанием оборудования в камерах для подсудимых и помещениях для конвоя в надлежащем состоянии разработка плана действий работников суда при возникновении чрезвычайных происшествий в зданиях (сооружениях) суда в рабочее и нерабочее время организация учебно-тренировочных занятий с работниками суда на предмет предупреждения и ликвидации чрезвычайных ситуаций и пожарной безопасности в здании суда.2. Организация ведения судебной статистики:организация работы по ведению первичного статистического учета, втом числе в автоматизированном судебном делопроизводстве, и формированию статистических отчетов обеспечение подготовки аппаратом суда статистических и аналитических материалов о работе суда для соблюдения процессуальных сроков рассмотрения дел (контроль за сроками нахождения дел в производстве суда), регулирования служебной нагрузки судей, подготовки обобщений судебной практики, а также представление председателю соответствующего суда регулярных докладов о состоянии организационного обеспечения деятельности суда координация работы отделов судебного делопроизводства (работников аппарата суда, ответственных за делопроизводство в суде) в части ведения первичного статистического учета и формирования статистической отчетности контроль за полнотой и достоверностью ведения электронных картотек автоматизированного судебного делопроизводства и базы данных по судимости контроль за своевременной отправкой регламентных и нерегламентных (по запросам управления Судебного департамента в субъекте Российской Федерации) статистических отчетов о деятельности суда, в том числе в электронном виде, с соблюдением соответствующих форматов и порядка представления осуществление контроля за изучением работниками аппарата суда, ответственными за ведение судебной статистики, нормативных документов организация взаимодействия с соответствующим филиалом ФГБУ ИАЦ Судебного департамента субъекта Российской Федерации по своевременному обновлению автоматизированных информационных систем по судебному делопроизводству.3. Организация процессов информатизации:контроль за выполнением работ ФГБУ ИАЦ Судебного департамента в районном суде обеспечение своевременности подачи заявок в службу технической поддержки ФГБУ ИАЦ Судебного департамента на проведение работ по восстановлению функционирования (работоспособности) программно-технических средств, общего и специального программного обеспечения, контроль их выполнения контроль за ведением эксплуатационной документации на комплекс средств автоматизации участие в формировании предложений по выбору общесистемного и специального программного обеспечения, организация его внедрения и эксплуатации осуществление контроля за своевременным составлением отчетности о работе районного суда по линии информатизации осуществление контроля за состоянием оборудования и оргтехники, проведением работ по профилактическому обслуживанию и ремонту.4. Организация информационно-правового обеспечения деятельности суда:организация получения, учета и хранения периодических изданий, осуществляющих официальное опубликование нормативных правовых актов федерального законодательства, органов государственной власти субъекта Российской Федерации, органов местного самоуправления организация получения, учета и хранения Бюллетеня Верховного Суда Российской Федерации, ежеквартальных обзоров нового законодательства и судебной практики Верховного Суда Российской Федерации, материалов судебной практики вышестоящего суда организационно-техническое обеспечение подготовки материалов обобщения судебной практики суда осуществление контроля за получением и хранением приказов и распоряжений и иных нормативных правовых актов Судебного департамента, управления Судебного департамента в субъекте Российской Федерации организация получения, учета и хранения юридической литературы и справочно-информационных материалов осуществление контроля за своевременной доставкой периодических изданий и юридической литературы органами почтовой связи, организация претензионной работы в случае ненадлежащего выполнения органами почтовой связи обязанностей по своевременной и качественной доставке периодических изданий и юридической литературы организация обеспечения суда справочными правовыми системами.5. Организация делопроизводства и работы архива:осуществление контроля за организацией приема граждан работниками аппарата суда организация проверок состояния помещения для хранения вещественных доказательств организация проверок по ведению книги учета, реестров (журналов) по учету, приему, хранению и уничтожению (утилизации) вещественных доказательств, поступающих в суд осуществление контроля за оборудованием (оснащением) помещения архива суда, а также за организацией его работы оказание работникам аппарата суда консультативной помощи в их деятельности по организации делопроизводства суда и работы архива.6. Организация предоставления медицинской помощи судьям и членам их семей:подготовка и направление в управление Судебного департамента в субъекте Российской Федерации изменений (дополнений и исключений) в списках лиц, подлежащих страхованию своевременное информирование о претензиях к работе страховых компаний управления Судебного департамента в субъекте Российской Федерации своевременное ознакомление судей (под роспись), в том числе пребывающих в отставке, членов их семей с информацией, касающейся предоставления медицинской помощи судьям федеральных судов общей юрисдикции, в том числе пребывающим в отставке и членам их семей.7. Организация санаторно-курортного лечения судей и членов их семей:сбор и обобщение заявок судей на санаторно-курортное лечение своевременное ознакомление судей (под роспись), в том числе пребывающих в отставке, членов их семей с информацией, касающейся организации санаторно-курортного лечения.8. Организация страхования жизни и здоровья судей:незамедлительное информирование председателя соответствующего суда и начальника управления Судебного департамента в субъекте Российской Федерации о наступлении страховых случаев, оказание судье или члену семьи судьи помощи по сбору документов для оформления страхового случая с последующим направлением их в страховую компанию своевременное информирование о претензиях к работе страховых компаний управления Судебного департамента в субъекте Российской Федерации своевременное доведение до судей (под роспись) информационных писем, касающихся страхования жизни и здоровья судей.9. Организация страхования имущества судей:своевременное извещение председателя соответствующего суда и начальника управления Судебного департамента о наступлении страхового случая оказание помощи в подготовке необходимых документов своевременное информирование о претензиях к работе страховых компаний управления Судебного департамента в субъекте Российской Федерации своевременное доведение до судей (под роспись) информационных писем, касающихся страхования имущества судей.10. Организация материально-технического обеспечения деятельности суда:определение потребности суда в материально-технических средствах (канцелярские товары, бланки, документы, предметы длительного пользования, расходные материалы и др.) при формировании проекта сметы на следующий финансовый год в соответствии с утвержденными нормами участие в работе по заключению и исполнению государственных контрактов (договоров) на поставку товаров, выполнение работ, оказание услуг, в том числе коммунальных участие в разработке документации о закупке товаров, работ, услуг для обеспечения государственных нужд, контроль за исполнением государственных контрактов, представление отчетов об осуществлении закупок участие в составлении установленных отчетов-заявок на материально-технические средства и представление их в управление Судебного департамента в субъекте Российской Федерации обеспечение контроля за сохранностью материальных ценностей и своевременностью представления отчетности об их использовании организация своевременного представления счетов на оплату коммунальных услуг, ведение текущего учета их поступления участие в разработке прогнозов объемов продукции, закупаемой для обеспечения государственных нужд, и планировании закупок товаров, выполнения работ, оказания услуг.выполнение иных поручений председателя соответствующего суда",Администратор суда,Республика Татарстан,25050.0
21000.0,18000.0,"Муниципальный служащий, замещающий должность ведущего специалиста-эксперта, должен иметь высшее образование.  Для замещения должности ведущего специалиста-эксперта не установлено требований к стажу муниципальной службы или стажу работы по специальности, направлению подготовки.  Ведущий специалист-эксперт должен обладать следующими базовыми знаниями:  - знанием государственного языка Российской Федерации (русского языка)  - Конституции Российской Федерации  - Федерального закона от 06.10.2003 года № 131-ФЗ ""Об общих принципах организации местного самоуправления в Российской Федерации""   - Федерального закона от 02.03.2007 года № 25-ФЗ ""О муниципальной службе в Российской Федерации""   - Законодательства о противодействии коррупции  - Налогового кодекса Российской Федерации  - Конституции Удмуртской Республики  - Закона Удмуртской Республики от 20.03.2008 года № 10-РЗ ""О муниципальной службе в Удмуртской Республике""   - Указов и Распоряжений Президента РФ  - Постановлений и Распоряжений Правительства РФ  - Нормативно-правовых актов федеральных органов исполнительной власти  - Указов и Распоряжений Главы УР  - Нормативно-правовых актов Правительства УР  - Устава муниципального образования ""Якшур-Бодьинский район""   - иных нормативно-правовых актов органов местного самоуправления муниципального образования ""Якшур-Бодьинский район""   - Положений, инструкций, регламентов, действующих в Администрации муниципального образования ""Якшур-Бодьинский район"" по организации различных видов управленческой деятельности.  2.1.4. Ведущий специалист-эксперт должен обладать следующими базовыми умениями:  - мыслить системно (стратегически)  - планировать, рационально использовать служебное время и достигать результата  -коммуникативными умениями  - работать на компьютере, в том числе в сети ""Интернет""   - работать в информационно-правовых системах  - адаптироваться к новой ситуации и принятию новых подходов в решении поставленных задач.  2.2. Муниципальный служащий, замещающий должность ведущего специалиста-эксперта отдела экономики, должен соответствовать следующим функциональным квалификационным требованиям.   2.2.1. Ведущий специалист-эксперт, должен иметь:  - высшее образование по рекомендуемым специальностям, направлениям подготовки: ""Государственное и муниципальное управление"", ""Экономика"", ""Менеджмент"", ""Юриспруденция"", ""Финансы и кредит"", ""Экономика и управление на предприятии (по отраслям)"", ""Торговое дело"" . или иные специальности и направления подготовки, содержащиеся в ранее применяемых перечнях специальностей и направлений подготовки, для которых законодательством об образовании Российской Федерации установлено соответствие указанным специальностям и направлениям подготовки.  2.2.2. Ведущий специалист-эксперт должен обладать следующими знаниями в области законодательства Российской Федерации, знаниями муниципальных правовых актов и иными знаниями, которые необходимы для исполнения должностных обязанностей в соответствующей области деятельности и по виду деятельности:  - Бюджетный кодекс Российской Федерации  - Гражданский кодекс Российской Федерации  - Налоговый кодекс Российской Федерации  - Трудовой кодекс Российской Федерации  - Федеральный закон от 12.01. 1996 года № 7-ФЗ ""О некоммерческих организациях""   - Федеральный закон от 25.02. 1999 года № 39-ФЗ ""Об инвестиционной деятельности в Российской Федерации, осуществляемой в форме капитальных вложений""   - Федеральный закон от 24.07.2007 года № 209-ФЗ ""О развитии малого и среднего предпринимательства в Российской Федерации""   - Федеральный закон от 05.04. 2013 года № 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""   - Федеральный закон от 28.06. 2014 года № 172-ФЗ ""О стратегическом планировании в Российской Федерации""   - Федеральный закон от 13.07. 2015 года № 224-ФЗ ""О государственно- частном партнерстве, муниципально-частном партнерстве в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации""   - постановление Правительства Российской Федерации от 15.04. 2014 года № 316 ""Об утверждении государственной программы Российской Федерации ""Экономическое развитие и инновационная экономика""   - постановление Правительства РФ от 31.05.2019 года № 696 ""Об утверждении государственной программы Российской Федерации ""Комплексное развитие сельских территорий"" и о внесении изменений в некоторые акты Правительства Российской Федерации""   -Устав муниципального образования ""Якшур-Бодьинский район""   иные знания:  - способы взаимодействия органов местного самоуправления с малым и средним бизнесом  - способы содействия развитию малого и среднего предпринимательства.  2.2.3. Ведущий специалист-эксперт должен обладать следующими умениями, которые необходимы для исполнения должностных обязанностей в соответствующей области деятельности и по виду деятельности:  - разработка, рассмотрение и согласование проектов нормативно-правовых актов и других документов  - подготовка аналитических, информационных и других материалов  - прием и согласование документации, заявок, заявлений  - предоставление информации из реестров, баз данных, выдача справок, выписок, документов, разъяснений и сведений  - проведение консультаций  - приём, учёт, обработка и регистрация корреспонденции, комплектование, хранение, учёт и использование архивных документов, составление номенклатуры дел  - определение приоритетности и очерёдности выполнения работ  - анализ причины невыполнения задач  - использование систем электронного документооборота  - использование унифицированных форм документов  - работа с входящей, исходящей, внутренней документацией  - осуществление сбора, обработки и анализ информации в соответствии с требованиями краткости, чёткости формулировок, своевременности поступления, точности и достоверности, оптимальности систематизации, непрерывности сбора и обработки информации  - составление и оформление сводных, отчётных, статистических документов  - ввод новых данных в справочно-информационные системы, страниц разделов официального сайта  - оформление текста в соответствующем стиле","Область профессиональной служебной деятельности (далее - область деятельности) в соответствии с которой муниципальный служащий исполняет должностные обязанности: -регулирование экономики, деятельности хозяйствующих субъектов и предпринимательства  -регулирование сельского хозяйства. Вид профессиональной служебной деятельности (далее - вид деятельности) в соответствии с которым муниципальный служащий исполняет должностные обязанности: -реализация политики в сфере поддержки социально-ориентированных некоммерческих организаций, благотворительной деятельности и добровольчества  - обеспечение инвестиционной деятельности",ведущий специалист -эксперт отдела по развитию предпринимательства и проектной деятельности Управления по развитию территории,Удмуртская Республика,19500.0
,,Высшее образование. Опыт работы на подземном руднике не менее 5 лет,"Должностные обязанности:   - Осуществлять руководство по геологическому обеспечению работ при проектировании, строительстве, эксплуатации, реконструкции, консервации или ликвидации объектов по добыче полезных ископаемых.  - Определять наиболее рациональные и эффективные схемы развития горных работ, на основе детального изучения геологических, горнотехнических, гидрологических и других условий разработки месторождений полезных ископаемых.  - Принимать участие в разработке проектов строительства, реконструкции, приеме в эксплуатацию, консервации и ликвидации объектов по добыче полезных ископаемых, доразведки и эксплуатационной разведки месторождений полезных ископаемых, планов развития горных работ, мероприятий по безопасному ведению горных работ вблизи опасных зон, по предупреждению и ликвидации аварий, по рациональному и комплексному использованию месторождений полезных ископаемых, а также проектов строительства, консервации и ликвидации подземных сооружений, не связанных с добычей полезных ископаемых и иных объектов, связанных с пользованием недр.  - Организовывать разработку норм потерь и разубоживания полезных ископаемых при их добыче, определять и вести учет, с участием маркшейдерской службы и на основании маркшейдерской и геологической документации, объемов добычи, потерь полезных ископаемых и полноты отработки запасов полезных ископаемых, а также учет состояния вскрытых, подготовленных и готовых к выемке запасов полезных ископаемых, выполнять с участием маркшейдерской службы работы, связанные с геометризацией месторождений полезных ископаемых.  - Принимать участие в подготовке материалов по переоценке и списанию с учета Общества запасов полезных ископаемых, исходным данным для исчисления платежей при пользовании недрами, в составлении установленной федеральной отчетности об объемах добычи и потерях полезных ископаемых, о полноте отработки запасов полезных ископаемых и состоянии горных выработок.  - Осуществлять геологический надзор за соблюдением проектов организаций по добыче полезных ископаемых и строительству подземных сооружений, не связанных с добычей полезных ископаемых, планов развития горных работ, правильности разработки месторождений полезных ископаемых, включая техногенные, охраной недр, рациональным и комплексным их использованием.  - Вести документацию и опробование эксплуатационных и других горных выработок, отбор образцов пород и полезных ископаемых для исследования и пополнения эталонных коллекций по месторождению.  - Участвовать в составлении актов на погашение отработанных блоков, площадей, а также в оформлении материалов на списание утративших промышленное значение запасов полезных ископаемых.  - Соблюдать выполнение плановых нормативов потерь разубоживания, установленных норм обеспеченности структурных подразделений подготовленными и готовыми к выемке запасами, полнотой отработки месторождений, учетом добычи, учетом движения балансовых запасов и погашением горны работ.  - Осуществлять систематическое сопоставление данных разведки и эксплуатации, анализ полученных результатов и разработка соответствующих предложений.  - Принимать участие в технологических исследованиях технологических схем переработки минерального сырья в части обеспечения рационального и комплексного извлечения полезных компонентов, а также соблюдения учета минерального сырья и продуктов его переработки.  - Осуществлять совместно с технологической службой (службой главного обогатителя) оперативное и генеральное опробование промышленных приборов.  - Разрабатывать меры, направленные на улучшение состояния промышленной безопасности в части геологического обеспечения горных работ, охраны недр, предотвращение ущерба окружающей природной среде.  - Вести работы по геологическому изучению и использованию недр методами и способами, исключающими экономически не обоснованные потери полезных ископаемых в недрах и снижение их качества, повышение достоверности разведанных запасов полезных ископаемых, наиболее полное и комплексное использование месторождений полезных ископаемых.  - Осуществлять постоянный контроль за состоянием минерально-сырьевой базы и обеспеченностью структурного подразделения разведанными запасами полезных ископаемых.  - Проводить своевременную доразведку и эксплуатационную разведку месторождений полезных ископаемых в целях уточнения количества и качества запасов основных и совместно с ними залегающих полезных ископаемых и содержащихся в них основных и попутных полезных ископаемых, а также горнотехнических, гидрогеологических и других условий разработки месторождений полезных ископаемых.  - Участвовать в разработке планов мероприятий по обеспечению промышленной безопасности и охраны недр и техническом расследовании причин аварий, инцидентов и несчастных случаев",Геолог на подземных горных работах,Забайкальский край,
60000.0,60000.0,"Наличие опыта работы, ответственность дисциплинированность, целеустремленность","Осуществляет организацию бухгалтерского учета хозяйственно-финансовой деятельности и контроль за экономным использованием материальных, трудовых и финансовых ресурсов, сохранностью собственности предприятия. Формирует в соответствии с законодательством о бухгалтерском учете учетную политику исходя из структуры и особенностей деятельности предприятия, необходимости обеспечения его финансовой устойчивости. Возглавляет работу по подготовке и принятию рабочего плана счетов, форм первичных учетных документов, применяемых для оформления хозяйственных операций, по которым не предусмотрены типовые формы, разработке форм документов внутренней бухгалтерской отчетности, а также обеспечению порядка проведения инвентаризаций, контроля за проведением хозяйственных операций, соблюдения технологии обработки бухгалтерской информации и порядка документооборота. Обеспечивает рациональную организацию бухгалтерского учета и отчетности на предприятии и в его подразделениях, а также разрабатывает и осуществляет мероприятия, направленные на укрепление финансовой дисциплины. Организует учет имущества, обязательств и хозяйственных операций, поступающих основных средств, товарно-материальных ценностей и денежных средств, своевременное отражение на счетах бухгалтерского учета операций, связанных с их движением, учет издержек производства и обращения, исполнения смет расходов, реализации продукции, выполнения работ (услуг), результатов хозяйственно-финансовой деятельности предприятия, а также финансовых, расчетных и кредитных операций. Обеспечивает законность, своевременность и правильность оформления документов, составление экономически обоснованных отчетных калькуляций себестоимости продукции, выполняемых работ (услуг), расчеты по заработной плате, правильное начисление и перечисление налогов и сборов в федеральный, региональный и местный бюджеты, страховых взносов в государственные внебюджетные социальные фонды, платежей в банковские учреждения, средств на финансирование капитальных вложений, погашение в установленные сроки задолженностей банкам по ссудам, а также отчисление средств на материальное стимулирование работников предприятия. Осуществляет контроль соблюдения порядка оформления первичных и бухгалтерских документов, расчетов и платежных обязательств, расходования фонда заработной платы, за установлением должностных окладов работникам предприятия, проведением инвентаризаций основных средств, товарно-материальных ценностей и денежных средств, проверок организации бухгалтерского учета и отчетности, а также документальных ревизий в подразделениях предприятия. Участвует в проведении экономического анализа хозяйственно-финансовой деятельности предприятия по данным бухгалтерского учета и отчетности в целях выявления внутрихозяйственных резервов, устранения потерь и непроизводительных затрат. Принимает меры по предупреждению недостач, незаконного расходования денежных средств и товарно-материальных ценностей, нарушений финансового и хозяйственного законодательства. Участвует в оформлении материалов по недостачам и хищениям денежных средств и товарно-материальных ценностей, контролирует передачу в необходимых случаях этих материалов в следственные и судебные органы. Принимает меры по накоплению финансовых средств для обеспечения финансовой устойчивости предприятия. Ведет работу по обеспечению строгого соблюдения штатной, финансовой и кассовой дисциплины, смет административно-хозяйственных и других расходов, законности списания со счетов бухгалтерского учета недостач, дебиторской задолженности и других потерь, сохранности бухгалтерских документов, оформления и сдачи их в установленном порядке в архив. Участвует в разработке и внедрении рациональной плановой и учетной документации, прогрессивных форм и методов ведения бухгалтерского учета на основе применения современных средств вычислительной техники. Обеспечивает составление баланса и оперативных сводных отчетов о доходах и расходах средств, об использовании бюджета, другой бухгалтерской и статистической отчетности, представление их в установленном порядке в соответствующие органы. Оказывает методическую помощь работникам подразделений предприятия по вопросам бухгалтерского учета, контроля, отчетности и экономического анализа. Следит за сохранностью документов бухгалтерского учета и за организацией хранения документов бухгалтерского учета. Руководит работниками бухгалтерии",Заместитель главный бухгалтер,Астраханская область,60000.0
